Year,Total Words Analyzed,Total Characters Analyzed,Average Word Size,Unique Words,Numerical Terms,Ambivalence,Self-reference,Tenacity,Leveling Terms,Collectives,Praise,Satisfaction,Inspiration,Blame,Hardship,Aggression,Accomplishment,Communication,Cognition,Passivity,Spatial Terms,Familiarity,Temporal Terms,Present Concern,Human Interest,Concreteness,Past Concern,Centrality,Rapport,Cooperation,Diversity,Exclusion,Liberation,Denial,Motion,Insistence,Embellishment,Variety,Complexity,Activity,Optimism,Certainty,Realism,Commonality,File,Word Characters Analyzed
2021,2481,13794,4.39,1239,8.24,10.29,8.06,1.27,117.16,5.12,1.72,7.78,6.52,1.25,9.43,11.8,6.99,6.81,13.07,3.1,2.58,7.75,2.74,6.98,1.71,21.23,9.99,12.53,7.82,3.6,19.6,35.07,1.06,3,53,11.37,0.75,0.49,4.28,49.6,53.51,48.33,51.56,49.97,59_2021_JB.txt.dfxml,10881
2017,1459,8437,4.62,694,5.58,18.3,5.27,3.68,102.77,4.18,2.71,6.8,6.93,2.01,15.26,9.67,11.88,8.99,28.43,3.25,1.5,9.91,3.05,9.17,1.04,18.42,9.26,7.02,8.23,1.29,1,31.87,0.5,7.24,56.12,30.56,0.71,0.48,4.57,48.78,54.44,53.6,52.44,51.51,58_2017_DT.txt.dfxml,6747
2013,2096,11965,4.57,1108,12.95,5.06,4.28,1.62,119.27,2.88,12.82,5.87,3.12,5.28,16.85,15.08,8.83,8.29,11.32,1.25,1.19,19.62,0.75,3.05,1.5,26.38,7.97,10.56,9.07,1.75,3.92,20.31,1.04,8.27,52.48,5.59,0.86,0.62,4.48,50.3,54.42,46.77,51.03,54.1,57_2013_BO.txt.dfxml,9570
2009,2388,13374,4.46,1269,4.69,14.31,9.09,2.54,134.18,9.53,4.85,6.67,4.04,2.35,7.51,15.15,4.74,7.99,14.42,0.83,2.2,10.94,2.27,9.38,0.81,24.16,9.13,8.99,9.68,2.81,0.31,28.17,1.81,1.77,50.61,1.97,0.81,0.53,4.36,47.29,51.47,49.52,53.34,49.66,56_2009_BO.txt.dfxml,10648
2005,2056,11949,4.67,1040,7.13,10.05,3.85,1.94,132.65,3.5,2.59,8.16,3.31,17.93,18.08,14.75,3.31,6.96,7.7,1,1.94,14.06,2.56,14.3,1.75,26.61,6.46,17.63,3.13,2,1.19,17.98,1.29,1.75,36.23,20.11,5.28,0.63,4.74,41.72,53.14,48.24,49.53,42.78,55_2005_GB.txt.dfxml,9600
2001,1579,8961,4.52,818,4.32,10.09,3.57,0.88,104.09,7.66,2.75,11.14,3.38,2.12,9.7,19.22,3,15.87,8.97,0.12,0.88,31.59,1.75,10.61,0.75,16.74,13.19,6.31,8.83,4.29,2.62,22.36,0.88,4.66,47.94,14.76,0.87,0.6,4.49,51.24,51.84,48.36,49.75,51.27,54_2001_GB.txt.dfxml,7135
1997,2157,12174,4.5,1078,4.96,11.3,5.34,0.62,134.97,2,1.94,16.02,2.12,2.59,17.77,15.62,7.87,6.43,31.67,2.19,1.19,9.35,2.06,13.03,2.4,23.96,10.41,7.3,10.84,3.65,1.5,13.72,0.81,2.06,52.82,26.03,1.6,0.55,4.38,45.91,57.94,51.08,55.69,48.79,53_1997_BC.txt.dfxml,9702
1993,1583,9042,4.54,809,17.78,12.05,3.5,1,113.72,3.5,1.38,3.27,4.38,1.12,10.15,12.63,11.79,9.65,12.35,1.62,3.84,10.42,4.51,8.2,0.88,21.98,6.94,9.19,9.55,1.62,2.88,35,4.39,1.12,62.9,16.1,0.81,0.6,4.27,50.65,52.07,48.91,51.22,49.94,52_1993_BC.txt.dfxml,7193
1989,2317,12502,4.23,1142,7.71,12.1,4.45,1.29,116.85,5.01,1.09,12.62,3.77,2.35,8.96,5.43,5.78,8.36,14.95,1.73,2.5,6.16,5.39,7.51,1.6,25.45,13.73,16.1,5.44,4.68,11.18,43.6,2,2.77,37.52,35.41,1.06,0.52,4.15,50.09,52.34,49.69,52.71,49.93,51_1989_GB.txt.dfxml,9801
1985,2563,14521,4.51,1320,6,22.08,5.93,0.69,132.43,3.66,1.45,2.95,4.19,6.43,4.75,6.38,13.75,2.81,18.07,1.75,1.56,10.82,5.91,13.64,0.53,17.19,5.74,11.09,11.86,2.22,1.69,18.16,0.84,6.47,54,23.79,0.79,0.61,4.25,47.26,54.82,46.21,53.74,51.37,50_1985_RR.txt.dfxml,11572
1981,2440,13756,4.48,1244,7.09,12.81,6.39,1.89,133.6,6.15,2.42,6.1,5.97,4.8,5.65,6.88,3.07,7.01,15.19,3.59,2.7,9.24,2.97,6.2,1.64,12.42,6.88,7.34,6.2,1.26,8.56,33.89,0.44,1.95,42.35,9.33,0.79,0.54,4.45,49.07,50.63,47.98,49.9,48.08,49_1981_RR.txt.dfxml,10927
1977,1223,6873,4.47,635,4.17,16.22,8.71,1.25,122.02,5.86,4.62,12.77,7.24,2.25,6.24,17.38,3.62,8.61,15.64,1.75,3.12,17.47,3.49,11.81,3.24,16.1,6.09,11.14,5.18,1,8.85,33.37,3.4,4.12,48.16,16.82,3.15,0.54,4.49,44.54,53.18,48.8,50.11,50.45,48_1977_JC.txt.dfxml,5463
1973,1802,9948,4.39,785,4.11,15.47,8.26,1.08,145.27,2.7,2.14,11.47,9.12,2.33,10.09,11.52,3.91,5.48,9.07,4.19,2.74,10.49,6.01,12.72,3.03,27.51,14.46,10.42,10.6,2.41,8.37,29.07,2.58,4.23,41.57,64.8,0.86,0.47,4.26,47.85,53.57,52.04,54.74,50.52,47_1973_RN.txt.dfxml,7903
1969,2124,11584,4.28,1026,3.64,13.78,5.18,2.77,150.85,12.88,7.7,3.41,4.39,1.24,4.31,12,1.81,12,20.39,4.08,1.56,13.14,4.33,4.53,0.38,15.61,7.95,13.2,14.94,3.27,5.56,17.19,0.94,3.95,52.82,9.38,0.75,0.52,4.11,46.75,47.48,44.97,54.82,52.77,46_1969_RN.txt.dfxml,9092
1965,1492,8176,4.31,704,4.03,13.43,11.19,4.52,131.29,6.04,4.03,6.3,5.8,4.55,11.85,9.89,3.27,9.59,16.85,2.76,5.04,15.95,3.76,13.37,1.76,16.1,13.39,14.22,6.73,2.52,9.37,36.44,1.52,2.77,46.88,20.3,0.47,0.47,4.27,49.21,50.22,52.1,51.93,48.03,45_1965_LJ.txt.dfxml,6424
1961,1364,7561,4.4,690,11.37,20.04,7.39,0.75,134.87,13.81,3.43,3.98,10.12,3.62,11.93,8.84,4.31,10.12,18.77,2.75,0.25,6.1,6.93,14.51,0.5,20.43,10.03,10.76,9.4,1.69,4.89,20.45,2,4.37,41.1,12.93,0.68,0.5,4.34,49.73,47.64,50.47,54.35,52.23,44_1961_JK.txt.dfxml,5996
1957,1655,9124,4.34,830,6.03,20.18,6.09,3.61,142.31,7.35,5.79,4.88,8.46,6.23,15.08,14.43,4.61,7.98,16.13,2.74,1.86,13.68,10.08,9.34,0.62,14.18,14.39,10.98,3.69,0.75,0.62,22.27,0.62,1.88,47.57,10.4,0.44,0.54,4.27,51.27,51.8,49.9,54.65,50.06,43_1957_DE.txt.dfxml,7182
1953,2454,13938,4.54,1227,4.02,12.64,6.82,2.04,145.29,5.76,4.51,5.86,10.33,8.08,14.24,20.15,4.39,8.18,13.28,3.48,0.8,13.65,5.16,8.45,2.43,6.24,13.19,7.07,3.42,0.31,0.61,22.27,2.46,3.34,40.84,18.6,0.68,0.5,4.55,50.51,52.6,51.33,51.15,48.25,42_1953_DE.txt.dfxml,11143
1949,2273,13665,4.88,1105,4.54,20.53,9.43,1.79,136.45,6.87,6.47,6.11,5.24,11.66,12.64,17.89,5,1.56,6.54,3.04,1.29,22.35,8.73,11.28,1.42,12.74,15.57,4.44,6.77,0.62,2.71,25.34,0.62,1.85,45.64,73.02,0.52,0.49,4.82,49.19,54.77,53.36,51.52,48.24,41_1949_HT.txt.dfxml,11088
1945,558,3009,4.23,281,1.5,15.93,7.46,1,151.02,3,1.75,9.31,3,0.5,18.43,14.52,2,5,11.98,1,2.5,16.25,1,10.62,0,13.31,18.19,7.48,1,1,4,25.24,0,1,69.1,3.86,0.51,0.59,4.02,49.92,54.2,50.38,57.07,49.83,40_1945_FR.txt.dfxml,2358
1941,1341,7528,4.45,636,2.89,17.98,8.18,2.47,159.06,8.15,4.2,5.54,2.95,6.18,9.2,10.85,2.47,6.43,13.59,5.67,3.23,8.95,0.5,9.88,0.5,16.36,6.98,15.39,6.29,1.73,0.25,25.11,0.25,0.75,35.51,47.21,0.61,0.48,4.42,47.66,50.89,50.03,52.1,47.21,39_1941_FR.txt.dfxml,5965
