Seq.,President,Political party,PP,CL,EM,MA,IR,AS,RC,VSA,PEJ,PCT,O
1,George Washington,Independent,4,2,1,1,2,2,2,2,13,1,2
2,John Adams,Federalist,22,17,15,11,13,21,24,20,15,19,19
3,Thomas Jefferson,Democratic-Republican,8,13,13,6,11,7,5,5,17,6,7
4,James Madison,Democratic-Republican,18,19,19,9,22,17,13,18,18,16,17
5,James Monroe,Democratic-Republican,17,14,18,16,7,11,9,14,25,11,13
6,John Quincy Adams,Democratic-Republican,33,23,17,12,15,18,32,15,9,22,21
7,Andrew Jackson,Democratic,7,10,26,20,20,23,21,10,38,13,18
8,Martin Van Buren,Democratic,30,35,40,33,26,26,28,33,30,33,34
9,William Henry Harrison,Whig,28,38,38,31,42,40,38,36,37,38,38
10,John Tyler,Independent[30],39,36,39,37,28,38,41,37,41,36,39
11,James K. Polk,Democratic,13,9,14,27,16,9,11,11,36,12,14
12,Zachary Taylor,Whig,27,28,28,28,30,35,35,30,34,30,31
13,Millard Fillmore,Whig,40,34,34,36,34,36,36,39,39,37,37
14,Franklin Pierce,Democratic,41,41,41,39,40,39,40,41,42,41,41
15,James Buchanan,Democratic,43,43,42,43,43,41,42,43,43,43,43
16,Abraham Lincoln,Republican,3,1,2,2,3,1,4,1,1,2,1
17,Andrew Johnson,National Union[31],42,42,37,41,39,43,43,42,40,42,42
18,Ulysses S. Grant,Republican,19,21,27,19,19,37,20,23,10,21,22
19,Rutherford B. Hayes,Republican,29,30,25,32,33,29,30,32,32,28,32
20,James A. Garfield,Republican,21,31,29,22,36,32,27,25,20,27,29
21,Chester A. Arthur,Republican,37,32,31,35,35,28,29,34,27,32,35
22,Grover Cleveland,Democratic,20,22,24,26,23,22,22,21,31,23,23
23,Benjamin Harrison,Republican,32,33,32,30,27,30,26,31,24,31,30
24,Grover Cleveland,Democratic,20,22,24,26,23,22,22,21,31,23,23
25,William McKinley,Republican,16,16,11,18,17,13,10,17,26,18,16
26,Theodore Roosevelt,Republican,2,5,4,5,4,4,7,4,11,4,4
27,William Howard Taft,Republican,31,26,20,25,21,12,23,28,22,24,24
28,Woodrow Wilson,Democratic,11,11,9,8,12,8,16,7,35,10,11
29,Warren G. Harding,Republican,36,39,35,40,37,42,34,40,33,40,40
30,Calvin Coolidge,Republican,24,29,22,21,29,25,18,29,29,26,27
31,Herbert Hoover,Republican,38,40,43,29,31,14,31,38,28,39,36
32,Franklin D. Roosevelt,Democratic,1,3,5,3,1,3,3,3,8,3,3
33,Harry S. Truman,Democratic,14,4,10,10,5,10,14,13,4,5,6
34,Dwight D. Eisenhower,Republican,12,6,6,4,6,5,6,16,12,7,5
35,John F. Kennedy,Democratic,6,7,7,15,14,16,12,9,7,9,8
36,Lyndon B. Johnson,Democratic,15,20,12,24,38,6,1,8,2,14,10
37,Richard Nixon,Republican,26,27,23,42,10,24,37,24,21,34,28
38,Gerald Ford,Republican,34,24,30,23,25,27,19,35,14,25,25
39,Jimmy Carter,Democratic,35,37,33,14,32,31,33,22,5,29,26
40,Ronald Reagan,Republican,5,8,16,13,9,33,8,6,23,8,9
41,George H. W. Bush,Republican,23,12,21,17,8,16,15,27,16,20,20
42,Bill Clinton,Democratic,9,18,3,38,18,20,17,19,6,17,15
43,George W. Bush,Republican,25,25,36,34,41,34,25,26,19,35,33
44,Barack Obama,Democratic,10,15,8,7,24,19,39,12,3,15,12
